diagnostic,horizon,target,median_handcrafted_base_skill,median_jepa_skill,median_base_plus_jepa_skill,median_base_plus_pca_skill,median_base_plus_random_skill,median_base_plus_shuffled_jepa_skill,median_flattened_context_skill
diagnostic_1,30s,signed_futures_return,-3.0120901910905884,-0.09469533105684813,-1.8098429883531608,-2.1667335710702607,-3.231511320882647,-2.9395247440346153,-5.201939680144056
diagnostic_1,30s,absolute_futures_return,-0.2291405430489759,-0.2756760402232372,-0.2962048359169538,-0.7104099961369723,-0.5038439744115917,-0.259199977590145,-8.368089920088778
diagnostic_1,30s,realized_futures_volatility,-0.5974132107628012,-0.018715080809226237,-0.4110807620267931,-1.813171222741465,-1.0958153476156482,-0.599983005251916,-2.798101328289877
diagnostic_1,30s,signed_atm_straddle_change,-0.3342668936937361,0.0001155371094360147,-0.04599756514944775,-0.10522533917972776,-0.30868401096703324,-0.33320889941126786,-0.12158999393862402
diagnostic_1,30s,absolute_atm_straddle_change,-0.07195381139005108,-0.06953832447289443,-0.145334477745249,-0.28127803532590123,-0.1998894681544463,-0.07770524600267525,-0.7794945452933004
diagnostic_1,30s,near_atm_spread_change,0.17346675500974795,-0.07263024711615107,0.16697688346078077,0.16943953422249303,0.15965332896640394,0.17214972694267316,0.014386949731134302
diagnostic_1,30s,signed_atm_iv_change,0.05134946476982827,0.004461802252212377,0.061674392465738026,0.05434656922324266,0.04717285213803735,0.05020017742198646,0.029083548874219933
diagnostic_1,30s,absolute_atm_iv_change,0.1905127368780407,0.04262595351422638,0.1675556869001169,0.17209469731657978,0.18351354918374485,0.18929355513992718,-0.2735684612191611
diagnostic_1,30s,surface_displacement,-0.08920792166399427,0.016888501702150838,0.022479159131666315,-0.055184333205847924,-0.2186340001412448,-0.03761318633766453,-1.826822445190873
diagnostic_1,60s,signed_futures_return,-4.268997604436923,-0.013457474814269732,-17.62065817109755,-7.786575629992527,-4.192162294716416,-3.8265378962120673,-0.2456640617906949
diagnostic_1,60s,absolute_futures_return,-0.5531316117750269,-0.047860561993677164,-0.7519859611455963,-7.457220433310173,-1.3372500893214312,-0.49225910390987937,-15.853991668225927
diagnostic_1,60s,realized_futures_volatility,-1.115888347844991,-0.1859647991040021,-0.45826744640645445,-2.8768612231700077,-2.305374157466064,-1.124691934664948,-4.198121077072325
diagnostic_1,60s,signed_atm_straddle_change,-0.8883610981694094,-0.001945619904973217,-0.051085490391361565,-0.10852637437593304,-0.2580849246751775,-0.9477104170297261,-0.6150624136528193
